concept_idx,label
117,leg
4400,water tower
3150,tree
4333,monument
7672,semidesert ground
1691,license plate
810,knife
594,dirt track
3501,dirt track
1825,windshield
1716,pier
5993,cliff
7268,wood
535,barbecue
2364,mug
1925,field-cultivated
6899,cage
1201,stage-indoor
4972,altarpiece
2402,plate
481,valley
7543,postbox
3083,file cabinet
5810,pink-c
3372,greenhouse
6202,umbrella
266,decoration
6928,bottle
5571,balcony-exterior
3145,leather
3922,apron
6622,rope
5645,horn
2645,ceiling
3251,watering hole
1924,bag
3959,rope bridge
7598,coat
1274,aquarium
2259,bayou
6421,paw
59,notebook
3036,parlor
4187,radio
8127,mouth
62,staircase
200,football field
6320,fire station
4054,football field
6215,sink
139,dining room
3117,dog
2416,streetlight
6557,clouds
5022,platform
6629,person
5118,downtown
1628,head
151,leaf
4565,scaly
