concept_idx,label
117,leg
4400,water tower
3150,tree
4333,monument
7672,ground
1691,taillight
810,blade
594,dirt track
3501,track
1825,mirror
1716,pier
5993,cliff
7268,wood
535,meat
2364,mug
1925,wheat field
6899,cage
1201,stage
4972,statue
2402,plate
481,hill
7543,postbox
3083,file cabinet
5810,pink-c
3372,greenhouse-outdoor
6202,umbrella
266,decoration
6928,bottle
5571,balcony-exterior
3145,leather
3922,airport
6622,braided
5645,horn
2645,ceiling
3251,water
1924,bag
3959,lift bridge
7598,skirt
1274,dotted
2259,fish
6421,paw
59,notebook
3036,floor
4187,cd
8127,mouth
62,escalator
200,football field
6320,ladder
4054,jersey
6215,tray
139,seat
3117,tail
2416,streetlight
6557,sky
5022,subway station-corridor
6629,head
5118,skyscraper
1628,hand
151,plant
4565,scaly
